MoodWord,MoodColor,EnergyValue,HappinessValue
Enraged,#FF0000,5,-5
Panicked,#FF2500,5,-4
Stressed,#FF4300,5,-3
Jittery,#FF5E00,5,-2
Shocked,#FF7A00,5,-1
Surprised,#FFB600,5,1
Upbeat,#FDC200,5,2
Festive,#FACE00,5,3
Exhilarated,#F8DB00,5,4
Ecstatic,#F6E700,5,5
Livid,#EE0909,4,-5
Furious,#EE2709,4,-4
Frustrated,#EE3F09,4,-3
Tense,#EE5409,4,-2
Stunned,#EE6A09,4,-1
Hyper,#F9B706,4,1
Cheerful,#F7C006,4,2
Motivated,#F5CA06,4,3
Inspired,#F3D406,4,4
Elated,#F2DE06,4,5
Fuming,#DD1111,3,-5
Frightened,#DD2711,3,-4
Angry,#DD3911,3,-3
Nervous,#DD4911,3,-2
Restless,#DD5A11,3,-1
Energized,#F2B70C,3,1
Lively,#F1BE0C,3,2
Enthusiastic,#EFC60C,3,3
Optimistic,#EECD0C,3,4
Excited,#EDD50C,3,5
Anxious,#D01818,2,-5
Apprehensive,#D02918,2,-4
Worried,#D03618,2,-3
Irritated,#D04218,2,-2
Annoyed,#D04F18,2,-1
Pleased,#EDB711,2,1
Happy,#ECBC11,2,2
Focused,#EBC211,2,3
Proud,#EAC811,2,4
Thrilled,#E9CD11,2,5
Repulsive,#C31E1E,1,-5
Troubled,#C3291E,1,-4
Concerned,#C3321E,1,-3
Uneasy,#C33A1E,1,-2
Peeved,#C3431E,1,-1
Pleasant,#E9B716,1,1
Joyful,#E8BB16,1,2
Hopeful,#E8BE16,1,3
Playful,#E7C216,1,4
Blissful,#E6C616,1,5
Disgusted,#062DD6,-1,-5
Glum,#104FCA,-1,-4
Disappointed,#186BC1,-1,-3
Down,#2189B7,-1,-2
Apathetic,#29A4AE,-1,-1
At ease,#77BD36,-1,1
Easygoing,#77BB31,-1,2
Content,#77B92B,-1,3
Loving,#77B726,-1,4
Fulfilled,#77B621,-1,5
Pessimistic,#0C2BB5,-2,-5
Morose,#1446AC,-2,-4
Discouraged,#1A5DA4,-2,-3
Sad,#21759C,-2,-2
Bored,#288A95,-2,-1
Calm,#5DB43A,-2,1
Secure,#5DB233,-2,2
Satisfied,#5DAE29,-2,3
Grateful,#5DAC22,-2,4
Touched,#5DAA1A,-2,5
Alienated,#122994,-3,-5
Miserable,#183D8D,-3,-4
Lonely,#1C4E88,-3,-3
Disheartened,#226082,-3,-2
Tired,#27707C,-3,-1
Relaxed,#44AB3E,-3,1
Chill,#44A834,-3,2
Restful,#44A327,-3,3
Blessed,#44A01D,-3,4
Balanced,#449D13,-3,5
Despondent,#17287D,-4,-5
Depressed,#1B3877,-4,-4
Sullen,#1F4473,-4,-3
Exhausted,#23526F,-4,-2
Fatigued,#265E6A,-4,-1
Mellow,#229F43,-4,1
Thoughtful,#229A35,-4,2
Peaceful,#229424,-4,3
Comfy,#229017,-4,4
Carefree,#228C09,-4,5
Despair,#1B2664,-5,-5
Hopeless,#1E3160,-5,-4
Desolate,#20395E,-5,-3
Spent,#23425B,-5,-2
Drained,#254A58,-5,-1
Sleepy,#009348,-5,1
Complacent,#008D37,-5,2
Tranquil,#008622,-5,3
Cozy,#008111,-5,4
Serene,#007C00,-5,5